JD,Phase,Flux,col4
1298.9241, 0.99366764, 0.94015861,
1298.9246, 0.99375804, 0.94000435,
1298.9292, 0.99471204, 0.94824952,
1298.9297, 0.99480482, 0.94981873,
1298.9353, 0.99596580, 0.95665330,
1298.9358, 0.99605858, 0.93953180,
1298.9418, 0.99730758, 0.96913660,
1298.9490, 0.99878021, 0.94128275,
1298.9494, 0.99887062, 0.94546223,
1298.9551, 3.3972893e-05, 0.94561189,
1298.9555, 0.00012199772, 0.94177145,
1298.9612, 0.0012877318, 0.95098138,
1298.9616, 0.0013757567, 0.93834877,
1298.9662, 0.0023178602, 0.94090652,
1298.9666, 0.0024058850, 0.94071043,
1298.9712, 0.0033408514, 0.93615508,
1298.9716, 0.0034312552, 0.94603896,
1298.9769, 0.0045184807, 0.94641280,
1298.9774, 0.0046088846, 0.94076180,
1298.9819, 0.0055462300, 0.93722874,
1298.9823, 0.0056318758, 0.93785858,
1298.9895, 0.0071092654, 0.94576222,
1298.9900, 0.0071996692, 0.94365555,
1298.9955, 0.0083439919, 0.94035590,
1298.9960, 0.0084343958, 0.93922144,
1299.0016, 0.0095858556, 0.93775254,
1299.0020, 0.0096738805, 0.94275868,
1299.0077, 0.010839615, 0.94170707,
1299.0081, 0.010927639, 0.94330311,
1299.0137, 0.012074341, 0.94656450,
1299.0141, 0.012162366, 0.94038242,
1299.0197, 0.013306689, 0.93993258,
1299.0201, 0.013397093, 0.93541831,
1299.0265, 0.014703191, 0.94068193,
1299.0269, 0.014791215, 0.93436944,
1299.0332, 0.016090176, 0.93620545,
1299.0336, 0.016175822, 0.93399382,
1299.0393, 0.017339177, 0.93941635,
1299.0397, 0.017429581, 0.94046718,
1299.0461, 0.018733300, 0.93730766,
1299.0465, 0.018823704, 0.93522251,
1299.0521, 0.019968027, 0.93716097,
1299.0525, 0.020058430, 0.93303347,
1299.0581, 0.021202753, 0.93339342,
1299.0585, 0.021288399, 0.93688619,
1299.0641, 0.022437480, 0.93518418,
1299.0645, 0.022527884, 0.93867230,
1299.0716, 0.023981483, 0.93941820,
1299.0720, 0.024071887, 0.93353486,
1299.0776, 0.025218588, 0.93562496,
1299.0781, 0.025313750, 0.93269348,
1299.0837, 0.026458073, 0.93028367,
1299.0841, 0.026548477, 0.93231046,
1299.0897, 0.027707074, 0.93326628,
1299.0902, 0.027797478, 0.93303472,
1299.0958, 0.028948938, 0.93271136,
1299.0962, 0.029036962, 0.93196040,
1299.1018, 0.030195559, 0.93380344,
1299.1023, 0.030283584, 0.93224412,
1299.1086, 0.031575408, 0.93062687,
1299.1090, 0.031665812, 0.92985505,
1299.1160, 0.033112274, 0.92439133,
1299.1165, 0.033202678, 0.92807841,
1299.1210, 0.034142402, 0.92591417,
1299.1215, 0.034232806, 0.92983824,
1299.1261, 0.035179668, 0.92991030,
1299.1265, 0.035270071, 0.92322391,
1299.1311, 0.036209796, 0.93199646,
1299.1315, 0.036297821, 0.93889129,
1299.1369, 0.037399320, 0.92678475,
1299.1373, 0.037489724, 0.92805833,
